Model,Accuracy,Precision,Recall,F1,ROC_AUC,CV_ROC_AUC,CV_STD
Random Forest,0.8405797101449275,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.9061444256756757,0.8975028825988876,0.0411407369195412
Support Vector Machine,0.8043478260869565,0.821917808219178,0.8108108108108109,0.8163265306122449,0.8922086148648649,0.8925887016228062,0.03709426826234354
Logistic Regression,0.8333333333333334,0.8591549295774648,0.8243243243243243,0.8413793103448276,0.8889358108108109,0.8538783516823534,0.03827576139438569
